article_name,article_content,processed_article_content
003.txt,"Yukos unit buyer faces loan claim

The owners of embattled Russian oil giant Yukos are to ask the buyer of its former production unit to pay back a $900m (£479m) loan.

State-owned Rosneft bought the Yugansk unit for $9.3bn in a sale forced by Russia to part settle a $27.5bn tax claim against Yukos. Yukos' owner Menatep Group says it will ask Rosneft to repay a loan that Yugansk had secured on its assets. Rosneft already faces a similar $540m repayment demand from foreign banks. Legal experts said Rosneft's purchase of Yugansk would include such obligations. ""The pledged assets are with Rosneft, so it will have to pay real money to the creditors to avoid seizure of Yugansk assets,"" said Moscow-based US lawyer Jamie Firestone, who is not connected to the case. Menatep Group's managing director Tim Osborne told the Reuters news agency: ""If they default, we will fight them where the rule of law exists under the international arbitration clauses of the credit.""

Rosneft officials were unavailable for comment. But the company has said it intends to take action against Menatep to recover some of the tax claims and debts owed by Yugansk. Yukos had filed for bankruptcy protection in a US court in an attempt to prevent the forced sale of its main production arm. The sale went ahead in December and Yugansk was sold to a little-known shell company which in turn was bought by Rosneft. Yukos claims its downfall was punishment for the political ambitions of its founder Mikhail Khodorkovsky and has vowed to sue any participant in the sale.
","yukos unit buyer face loan claim owner embattled russian oil giant yukos ask buyer former production unit pay back $ 900m ( £479m ) loan . state-owned rosneft bought yugansk unit $ 9.3bn sale forced russia part settle $ 27.5bn tax claim yukos . yukos ' owner menatep group say ask rosneft repay loan yugansk secured asset . rosneft already face similar $ 540m repayment demand foreign bank . legal expert said rosneft 's purchase yugansk would include obligation . `` pledged asset rosneft , pay real money creditor avoid seizure yugansk asset , '' said moscow-based u lawyer jamie firestone , connected case . menatep group 's managing director tim osborne told reuters news agency : `` default , fight rule law exists international arbitration clause credit . '' rosneft official unavailable comment . company said intends take action menatep recover tax claim debt owed yugansk . yukos filed bankruptcy protection u court attempt prevent forced sale main production arm . sale went ahead december yugansk sold little-known shell company turn bought rosneft . yukos claim downfall punishment political ambition founder mikhail khodorkovsky vowed sue participant sale ."
002.txt,"Dollar gains on Greenspan speech

The dollar has hit its highest level against the euro in almost three months after the Federal Reserve head said the US trade deficit is set to stabilise.

And Alan Greenspan highlighted the US government's willingness to curb spending and rising household savings as factors which may help to reduce it. In late trading in New York, the dollar reached $1.2871 against the euro, from $1.2974 on Thursday. Market concerns about the deficit has hit the greenback in recent months. On Friday, Federal Reserve chairman Mr Greenspan's speech in London ahead of the meeting of G7 finance ministers sent the dollar higher after it had earlier tumbled on the back of worse-than-expected US jobs data. ""I think the chairman's taking a much more sanguine view on the current account deficit than he's taken for some time,"" said Robert Sinche, head of currency strategy at Bank of America in New York. ""He's taking a longer-term view, laying out a set of conditions under which the current account deficit can improve this year and next.""

Worries about the deficit concerns about China do, however, remain. China's currency remains pegged to the dollar and the US currency's sharp falls in recent months have therefore made Chinese export prices highly competitive. But calls for a shift in Beijing's policy have fallen on deaf ears, despite recent comments in a major Chinese newspaper that the ""time is ripe"" for a loosening of the peg. The G7 meeting is thought unlikely to produce any meaningful movement in Chinese policy. In the meantime, the US Federal Reserve's decision on 2 February to boost interest rates by a quarter of a point - the sixth such move in as many months - has opened up a differential with European rates. The half-point window, some believe, could be enough to keep US assets looking more attractive, and could help prop up the dollar. The recent falls have partly been the result of big budget deficits, as well as the US's yawning current account gap, both of which need to be funded by the buying of US bonds and assets by foreign firms and governments. The White House will announce its budget on Monday, and many commentators believe the deficit will remain at close to half a trillion dollars.
","dollar gain greenspan speech dollar hit highest level euro almost three month federal reserve head said u trade deficit set stabilise . alan greenspan highlighted u government 's willingness curb spending rising household saving factor may help reduce . late trading new york , dollar reached $ 1.2871 euro , $ 1.2974 thursday . market concern deficit hit greenback recent month . friday , federal reserve chairman mr greenspan 's speech london ahead meeting g7 finance minister sent dollar higher earlier tumbled back worse-than-expected u job data . `` think chairman 's taking much sanguine view current account deficit 's taken time , '' said robert sinche , head currency strategy bank america new york . `` 's taking longer-term view , laying set condition current account deficit improve year next . '' worry deficit concern china , however , remain . china 's currency remains pegged dollar u currency 's sharp fall recent month therefore made chinese export price highly competitive . call shift beijing 's policy fallen deaf ear , despite recent comment major chinese newspaper `` time ripe '' loosening peg . g7 meeting thought unlikely produce meaningful movement chinese policy . meantime , u federal reserve 's decision 2 february boost interest rate quarter point - sixth move many month - opened differential european rate . half-point window , believe , could enough keep u asset looking attractive , could help prop dollar . recent fall partly result big budget deficit , well u 's yawning current account gap , need funded buying u bond asset foreign firm government . white house announce budget monday , many commentator believe deficit remain close half trillion dollar ."
004.txt,"High fuel prices hit BA's profits

British Airways has blamed high fuel prices for a 40% drop in profits.

Reporting its results for the three months to 31 December 2004, the airline made a pre-tax profit of £75m ($141m) compared with £125m a year earlier. Rod Eddington, BA's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by £106m or 47.3%. BA's profits were still better than market expectation of £59m, and it expects a rise in full-year revenues.

To help offset the increased price of aviation fuel, BA last year introduced a fuel surcharge for passengers.

In October, it increased this from £6 to £10 one-way for all long-haul flights, while the short-haul surcharge was raised from £2.50 to £4 a leg. Yet aviation analyst Mike Powell of Dresdner Kleinwort Wasserstein says BA's estimated annual surcharge revenues - £160m - will still be way short of its additional fuel costs - a predicted extra £250m. Turnover for the quarter was up 4.3% to £1.97bn, further benefiting from a rise in cargo revenue. Looking ahead to its full year results to March 2005, BA warned that yields - average revenues per passenger - were expected to decline as it continues to lower prices in the face of competition from low-cost carriers. However, it said sales would be better than previously forecast. ""For the year to March 2005, the total revenue outlook is slightly better than previous guidance with a 3% to 3.5% improvement anticipated,"" BA chairman Martin Broughton said. BA had previously forecast a 2% to 3% rise in full-year revenue.

It also reported on Friday that passenger numbers rose 8.1% in January. Aviation analyst Nick Van den Brul of BNP Paribas described BA's latest quarterly results as ""pretty modest"". ""It is quite good on the revenue side and it shows the impact of fuel surcharges and a positive cargo development, however, operating margins down and cost impact of fuel are very strong,"" he said. Since the 11 September 2001 attacks in the United States, BA has cut 13,000 jobs as part of a major cost-cutting drive. ""Our focus remains on reducing controllable costs and debt whilst continuing to invest in our products,"" Mr Eddington said. ""For example, we have taken delivery of six Airbus A321 aircraft and next month we will start further improvements to our Club World flat beds."" BA's shares closed up four pence at 274.5 pence.
","high fuel price hit ba 's profit british airway blamed high fuel price 40 % drop profit . reporting result three month 31 december 2004 , airline made pre-tax profit £75m ( $ 141m ) compared £125m year earlier . rod eddington , ba 's chief executive , said result `` respectable '' third quarter fuel cost rose £106m 47.3 % . ba 's profit still better market expectation £59m , expects rise full-year revenue . help offset increased price aviation fuel , ba last year introduced fuel surcharge passenger . october , increased £6 £10 one-way long-haul flight , short-haul surcharge raised £2.50 £4 leg . yet aviation analyst mike powell dresdner kleinwort wasserstein say ba 's estimated annual surcharge revenue - £160m - still way short additional fuel cost - predicted extra £250m . turnover quarter 4.3 % £1.97bn , benefiting rise cargo revenue . looking ahead full year result march 2005 , ba warned yield - average revenue per passenger - expected decline continues lower price face competition low-cost carrier . however , said sale would better previously forecast . `` year march 2005 , total revenue outlook slightly better previous guidance 3 % 3.5 % improvement anticipated , '' ba chairman martin broughton said . ba previously forecast 2 % 3 % rise full-year revenue . also reported friday passenger number rose 8.1 % january . aviation analyst nick van den brul bnp paribas described ba 's latest quarterly result `` pretty modest '' . `` quite good revenue side show impact fuel surcharge positive cargo development , however , operating margin cost impact fuel strong , '' said . since 11 september 2001 attack united state , ba cut 13,000 job part major cost-cutting drive . `` focus remains reducing controllable cost debt whilst continuing invest product , '' mr eddington said . `` example , taken delivery six airbus a321 aircraft next month start improvement club world flat bed . '' ba 's share closed four penny 274.5 penny ."
006.txt,"Japan narrowly escapes recession

Japan's economy teetered on the brink of a technical recession in the three months to September, figures show.

Revised figures indicated growth of just 0.1% - and a similar-sized contraction in the previous quarter. On an annual basis, the data suggests annual growth of just 0.2%, suggesting a much more hesitant recovery than had previously been thought. A common technical definition of a recession is two successive quarters of negative growth.

The government was keen to play down the worrying implications of the data. ""I maintain the view that Japan's economy remains in a minor adjustment phase in an upward climb, and we will monitor developments carefully,"" said economy minister Heizo Takenaka. But in the face of the strengthening yen making exports less competitive and indications of weakening economic conditions ahead, observers were less sanguine. ""It's painting a picture of a recovery... much patchier than previously thought,"" said Paul Sheard, economist at Lehman Brothers in Tokyo. Improvements in the job market apparently have yet to feed through to domestic demand, with private consumption up just 0.2% in the third quarter.
","japan narrowly escape recession japan 's economy teetered brink technical recession three month september , figure show . revised figure indicated growth 0.1 % - similar-sized contraction previous quarter . annual basis , data suggests annual growth 0.2 % , suggesting much hesitant recovery previously thought . common technical definition recession two successive quarter negative growth . government keen play worrying implication data . `` maintain view japan 's economy remains minor adjustment phase upward climb , monitor development carefully , '' said economy minister heizo takenaka . face strengthening yen making export le competitive indication weakening economic condition ahead , observer le sanguine . `` 's painting picture recovery ... much patchier previously thought , '' said paul sheard , economist lehman brother tokyo . improvement job market apparently yet feed domestic demand , private consumption 0.2 % third quarter ."
005.txt,"Pernod takeover talk lifts Domecq

Shares in UK drinks and food firm Allied Domecq have risen on speculation that it could be the target of a takeover by France's Pernod Ricard.

Reports in the Wall Street Journal and the Financial Times suggested that the French spirits firm is considering a bid, but has yet to contact its target. Allied Domecq shares in London rose 4% by 1200 GMT, while Pernod shares in Paris slipped 1.2%. Pernod said it was seeking acquisitions but refused to comment on specifics.

Pernod's last major purchase was a third of US giant Seagram in 2000, the move which propelled it into the global top three of drinks firms. The other two-thirds of Seagram was bought by market leader Diageo. In terms of market value, Pernod - at 7.5bn euros ($9.7bn) - is about 9% smaller than Allied Domecq, which has a capitalisation of £5.7bn ($10.7bn; 8.2bn euros). Last year Pernod tried to buy Glenmorangie, one of Scotland's premier whisky firms, but lost out to luxury goods firm LVMH. Pernod is home to brands including Chivas Regal Scotch whisky, Havana Club rum and Jacob's Creek wine. Allied Domecq's big names include Malibu rum, Courvoisier brandy, Stolichnaya vodka and Ballantine's whisky - as well as snack food chains such as Dunkin' Donuts and Baskin-Robbins ice cream. The WSJ said that the two were ripe for consolidation, having each dealt with problematic parts of their portfolio. Pernod has reduced the debt it took on to fund the Seagram purchase to just 1.8bn euros, while Allied has improved the performance of its fast-food chains.
","pernod takeover talk lift domecq share uk drink food firm allied domecq risen speculation could target takeover france 's pernod ricard . report wall street journal financial time suggested french spirit firm considering bid , yet contact target . allied domecq share london rose 4 % 1200 gmt , pernod share paris slipped 1.2 % . pernod said seeking acquisition refused comment specific . pernod 's last major purchase third u giant seagram 2000 , move propelled global top three drink firm . two-thirds seagram bought market leader diageo . term market value , pernod - 7.5bn euro ( $ 9.7bn ) - 9 % smaller allied domecq , capitalisation £5.7bn ( $ 10.7bn ; 8.2bn euro ) . last year pernod tried buy glenmorangie , one scotland 's premier whisky firm , lost luxury good firm lvmh . pernod home brand including chivas regal scotch whisky , havana club rum jacob 's creek wine . allied domecq 's big name include malibu rum , courvoisier brandy , stolichnaya vodka ballantine 's whisky - well snack food chain dunkin ' donut baskin-robbins ice cream . wsj said two ripe consolidation , dealt problematic part portfolio . pernod reduced debt took fund seagram purchase 1.8bn euro , allied improved performance fast-food chain ."
007.txt,"Jobs growth still slow in the US

The US created fewer jobs than expected in January, but a fall in jobseekers pushed the unemployment rate to its lowest level in three years.

According to Labor Department figures, US firms added only 146,000 jobs in January. The gain in non-farm payrolls was below market expectations of 190,000 new jobs. Nevertheless it was enough to push down the unemployment rate to 5.2%, its lowest level since September 2001. The job gains mean that President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office. He presided over a net fall in jobs up to last November's Presidential election - the first President to do so since Herbert Hoover. As a result, job creation became a key issue in last year's election. However, when adding December and January's figures, the administration's first term jobs record ended in positive territory.

The Labor Department also said it had revised down the jobs gains in December 2004, from 157,000 to 133,000.

Analysts said the growth in new jobs was not as strong as could be expected given the favourable economic conditions. ""It suggests that employment is continuing to expand at a moderate pace,"" said Rick Egelton, deputy chief economist at BMO Financial Group. ""We are not getting the boost to employment that we would have got given the low value of the dollar and the still relatively low interest rate environment."" ""The economy is producing a moderate but not a satisfying amount of job growth,"" said Ken Mayland, president of ClearView Economics. ""That means there are a limited number of new opportunities for workers.""
","job growth still slow u u created fewer job expected january , fall jobseekers pushed unemployment rate lowest level three year . according labor department figure , u firm added 146,000 job january . gain non-farm payroll market expectation 190,000 new job . nevertheless enough push unemployment rate 5.2 % , lowest level since september 2001. job gain mean president bush celebrate - albeit fine margin - net growth job u economy first term office . presided net fall job last november 's presidential election - first president since herbert hoover . result , job creation became key issue last year 's election . however , adding december january 's figure , administration 's first term job record ended positive territory . labor department also said revised job gain december 2004 , 157,000 133,000. analyst said growth new job strong could expected given favourable economic condition . `` suggests employment continuing expand moderate pace , '' said rick egelton , deputy chief economist bmo financial group . `` getting boost employment would got given low value dollar still relatively low interest rate environment . '' `` economy producing moderate satisfying amount job growth , '' said ken mayland , president clearview economics . `` mean limited number new opportunity worker . ''"
008.txt,"India calls for fair trade rules

India, which attends the G7 meeting of seven leading industrialised nations on Friday, is unlikely to be cowed by its newcomer status.

In London on Thursday ahead of the meeting, India's finance minister, lashed out at the restrictive trade policies of the G7 nations. He objected to subsidies on agriculture that make it hard for developing nations like India to compete. He also called for reform of the United Nations, the World Bank and the IMF.

Palaniappan Chidambaram, India's finance minister, argued that these organisations need to take into account the changing world order, given India and China's integration into the global economy. He said the issue is not globalisation but ""the terms of engagement in globalisation."" Mr Chidambaram is attending the G7 meeting as part of the G20 group of nations, which account for two thirds of the world's population. At a conference on developing enterprise hosted by UK finance minister Gordon Brown on Friday, he said that he was in favour of floating exchange rates because they help countries cope with economic shocks. ""A flexible exchange rate is one more channel for absorbing both positive and negative shocks,"" he told the conference. India, along with China, Brazil, South Africa and Russia, has been invited to take part in the G7 meeting taking place in London on Friday and Saturday. China is expected to face renewed pressure to abandon its fixed exchange rate, which G7 nations, in particular the US, have blamed for a surge in cheap Chinese exports. ""Some countries have tried to use fixed exchange rates. I do not wish to make any judgements,"" Mr Chidambaram said. Separately, the IMF warned on Thursday that India's budget deficit was too large and would hamper the country's economic growth, which it forecast to be around 6.5% in the year to March 2005. In the year to March 2004, the Indian economy grew by 8.5%.
","india call fair trade rule india , attends g7 meeting seven leading industrialised nation friday , unlikely cowed newcomer status . london thursday ahead meeting , india 's finance minister , lashed restrictive trade policy g7 nation . objected subsidy agriculture make hard developing nation like india compete . also called reform united nation , world bank imf . palaniappan chidambaram , india 's finance minister , argued organisation need take account changing world order , given india china 's integration global economy . said issue globalisation `` term engagement globalisation . '' mr chidambaram attending g7 meeting part g20 group nation , account two third world 's population . conference developing enterprise hosted uk finance minister gordon brown friday , said favour floating exchange rate help country cope economic shock . `` flexible exchange rate one channel absorbing positive negative shock , '' told conference . india , along china , brazil , south africa russia , invited take part g7 meeting taking place london friday saturday . china expected face renewed pressure abandon fixed exchange rate , g7 nation , particular u , blamed surge cheap chinese export . `` country tried use fixed exchange rate . wish make judgement , '' mr chidambaram said . separately , imf warned thursday india 's budget deficit large would hamper country 's economic growth , forecast around 6.5 % year march 2005. year march 2004 , indian economy grew 8.5 % ."
010.txt,"Court rejects $280bn tobacco case

A US government claim accusing the country's biggest tobacco companies of covering up the effects of smoking has been thrown out by an appeal court.

The demand for $280bn (£155bn) - filed by the Clinton administration in 1999 - was rejected in a 2-1 decision. The court in Washington found that the case could not be brought under federal anti-racketeering laws. Among the accused were Altria Group, RJ Reynolds Tobacco, Lorillard Tobacco, Liggett Group and Brown and Williamson. In its case, the government claimed tobacco firms manipulated nicotine levels to increase addiction, targeted teenagers with multi-billion dollar advertising campaigns, lied about the dangers of smoking and ignored research to the contrary.

Prosecutors wanted the cigarette firms to surrender $280bn in profits accumulated over the past 50 years and impose tougher rules on marketing their products. But the Court of Appeals for the District of Columbia ruled that the US government could not sue the firms under legislation drawn up to counteract Mafia infiltration of business. The tobacco companies deny that they illegally conspired to promote smoking and defraud the public. They also say they have already met many of the government's demands in a landmark $206bn settlement reached with 46 states in 1998. Shares of tobacco companies closed higher after the ruling, with Altria rising 5% and Reynolds showing gains of 4.5%.
","court reject $ 280bn tobacco case u government claim accusing country 's biggest tobacco company covering effect smoking thrown appeal court . demand $ 280bn ( £155bn ) - filed clinton administration 1999 - rejected 2-1 decision . court washington found case could brought federal anti-racketeering law . among accused altria group , rj reynolds tobacco , lorillard tobacco , liggett group brown williamson . case , government claimed tobacco firm manipulated nicotine level increase addiction , targeted teenager multi-billion dollar advertising campaign , lied danger smoking ignored research contrary . prosecutor wanted cigarette firm surrender $ 280bn profit accumulated past 50 year impose tougher rule marketing product . court appeal district columbia ruled u government could sue firm legislation drawn counteract mafia infiltration business . tobacco company deny illegally conspired promote smoking defraud public . also say already met many government 's demand landmark $ 206bn settlement reached 46 state 1998. share tobacco company closed higher ruling , altria rising 5 % reynolds showing gain 4.5 % ."
009.txt,"Ethiopia's crop production up 24%

Ethiopia produced 14.27 million tonnes of crops in 2004, 24% higher than in 2003 and 21% more than the average of the past five years, a report says.

In 2003, crop production totalled 11.49 million tonnes, the joint report from the Food and Agriculture Organisation and the World Food Programme said. Good rains, increased use of fertilizers and improved seeds contributed to the rise in production. Nevertheless, 2.2 million Ethiopians will still need emergency assistance.

The report calculated emergency food requirements for 2005 to be 387,500 tonnes. On top of that, 89,000 tonnes of fortified blended food and vegetable oil for ""targeted supplementary food distributions for a survival programme for children under five and pregnant and lactating women"" will be needed.

In eastern and southern Ethiopia, a prolonged drought has killed crops and drained wells. Last year, a total of 965,000 tonnes of food assistance was needed to help seven million Ethiopians. The Food and Agriculture Organisation (FAO) recommend that the food assistance is bought locally. ""Local purchase of cereals for food assistance programmes is recommended as far as possible, so as to assist domestic markets and farmers,"" said Henri Josserand, chief of FAO's Global Information and Early Warning System. Agriculture is the main economic activity in Ethiopia, representing 45% of gross domestic product. About 80% of Ethiopians depend directly or indirectly on agriculture.
","ethiopia 's crop production 24 % ethiopia produced 14.27 million tonne crop 2004 , 24 % higher 2003 21 % average past five year , report say . 2003 , crop production totalled 11.49 million tonne , joint report food agriculture organisation world food programme said . good rain , increased use fertilizer improved seed contributed rise production . nevertheless , 2.2 million ethiopian still need emergency assistance . report calculated emergency food requirement 2005 387,500 tonne . top , 89,000 tonne fortified blended food vegetable oil `` targeted supplementary food distribution survival programme child five pregnant lactating woman '' needed . eastern southern ethiopia , prolonged drought killed crop drained well . last year , total 965,000 tonne food assistance needed help seven million ethiopian . food agriculture organisation ( fao ) recommend food assistance bought locally . `` local purchase cereal food assistance programme recommended far possible , assist domestic market farmer , '' said henri josserand , chief fao 's global information early warning system . agriculture main economic activity ethiopia , representing 45 % gross domestic product . 80 % ethiopian depend directly indirectly agriculture ."
011.txt,"Ask Jeeves tips online ad revival

Ask Jeeves has become the third leading online search firm this week to thank a revival in internet advertising for improving fortunes.

The firm's revenue nearly tripled in the fourth quarter of 2004, exceeding $86m (£46m). Ask Jeeves, once among the best-known names on the web, is now a relatively modest player. Its $17m profit for the quarter was dwarfed by the $204m announced by rival Google earlier in the week. During the same quarter, Yahoo earned $187m, again tipping a resurgence in online advertising.

The trend has taken hold relatively quickly. Late last year, marketing company Doubleclick, one of the leading providers of online advertising, warned that some or all of its business would have to be put up for sale. But on Thursday, it announced that a sharp turnaround had brought about an unexpected increase in profits. Neither Ask Jeeves nor Doubleclick thrilled investors with their profit news, however. In both cases, their shares fell by some 4%. Analysts attributed the falls to excessive expectations in some quarters, fuelled by the dramatic outperformance of Google on Tuesday.
","ask jeeves tip online ad revival ask jeeves become third leading online search firm week thank revival internet advertising improving fortune . firm 's revenue nearly tripled fourth quarter 2004 , exceeding $ 86m ( £46m ) . ask jeeves , among best-known name web , relatively modest player . $ 17m profit quarter dwarfed $ 204m announced rival google earlier week . quarter , yahoo earned $ 187m , tipping resurgence online advertising . trend taken hold relatively quickly . late last year , marketing company doubleclick , one leading provider online advertising , warned business would put sale . thursday , announced sharp turnaround brought unexpected increase profit . neither ask jeeves doubleclick thrilled investor profit news , however . case , share fell 4 % . analyst attributed fall excessive expectation quarter , fuelled dramatic outperformance google tuesday ."
