article_name,article_content
003.txt,"yukos unit buyer face loan claim owner embattled russian oil giant yukos ask buyer former production unit pay back $ 900m ( £479m ) loan . state-owned rosneft bought yugansk unit $ 9.3bn sale forced russia part settle $ 27.5bn tax claim yukos . yukos ' owner menatep group say ask rosneft repay loan yugansk secured asset . rosneft already face similar $ 540m repayment demand foreign bank . legal expert said rosneft 's purchase yugansk would include obligation . `` pledged asset rosneft , pay real money creditor avoid seizure yugansk asset , '' said moscow-based u lawyer jamie firestone , connected case . menatep group 's managing director tim osborne told reuters news agency : `` default , fight rule law exists international arbitration clause credit . '' rosneft official unavailable comment . company said intends take action menatep recover tax claim debt owed yugansk . yukos filed bankruptcy protection u court attempt prevent forced sale main production arm . sale went ahead december yugansk sold little-known shell company turn bought rosneft . yukos claim downfall punishment political ambition founder mikhail khodorkovsky vowed sue participant sale ."
002.txt,"dollar gain greenspan speech dollar hit highest level euro almost three month federal reserve head said u trade deficit set stabilise . alan greenspan highlighted u government 's willingness curb spending rising household saving factor may help reduce . late trading new york , dollar reached $ 1.2871 euro , $ 1.2974 thursday . market concern deficit hit greenback recent month . friday , federal reserve chairman mr greenspan 's speech london ahead meeting g7 finance minister sent dollar higher earlier tumbled back worse-than-expected u job data . `` think chairman 's taking much sanguine view current account deficit 's taken time , '' said robert sinche , head currency strategy bank america new york . `` 's taking longer-term view , laying set condition current account deficit improve year next . '' worry deficit concern china , however , remain . china 's currency remains pegged dollar u currency 's sharp fall recent month therefore made chinese export price highly competitive . call shift beijing 's policy fallen deaf ear , despite recent comment major chinese newspaper `` time ripe '' loosening peg . g7 meeting thought unlikely produce meaningful movement chinese policy . meantime , u federal reserve 's decision 2 february boost interest rate quarter point - sixth move many month - opened differential european rate . half-point window , believe , could enough keep u asset looking attractive , could help prop dollar . recent fall partly result big budget deficit , well u 's yawning current account gap , need funded buying u bond asset foreign firm government . white house announce budget monday , many commentator believe deficit remain close half trillion dollar ."
004.txt,"high fuel price hit ba 's profit british airway blamed high fuel price 40 % drop profit . reporting result three month 31 december 2004 , airline made pre-tax profit £75m ( $ 141m ) compared £125m year earlier . rod eddington , ba 's chief executive , said result `` respectable '' third quarter fuel cost rose £106m 47.3 % . ba 's profit still better market expectation £59m , expects rise full-year revenue . help offset increased price aviation fuel , ba last year introduced fuel surcharge passenger . october , increased £6 £10 one-way long-haul flight , short-haul surcharge raised £2.50 £4 leg . yet aviation analyst mike powell dresdner kleinwort wasserstein say ba 's estimated annual surcharge revenue - £160m - still way short additional fuel cost - predicted extra £250m . turnover quarter 4.3 % £1.97bn , benefiting rise cargo revenue . looking ahead full year result march 2005 , ba warned yield - average revenue per passenger - expected decline continues lower price face competition low-cost carrier . however , said sale would better previously forecast . `` year march 2005 , total revenue outlook slightly better previous guidance 3 % 3.5 % improvement anticipated , '' ba chairman martin broughton said . ba previously forecast 2 % 3 % rise full-year revenue . also reported friday passenger number rose 8.1 % january . aviation analyst nick van den brul bnp paribas described ba 's latest quarterly result `` pretty modest '' . `` quite good revenue side show impact fuel surcharge positive cargo development , however , operating margin cost impact fuel strong , '' said . since 11 september 2001 attack united state , ba cut 13,000 job part major cost-cutting drive . `` focus remains reducing controllable cost debt whilst continuing invest product , '' mr eddington said . `` example , taken delivery six airbus a321 aircraft next month start improvement club world flat bed . '' ba 's share closed four penny 274.5 penny ."
006.txt,"japan narrowly escape recession japan 's economy teetered brink technical recession three month september , figure show . revised figure indicated growth 0.1 % - similar-sized contraction previous quarter . annual basis , data suggests annual growth 0.2 % , suggesting much hesitant recovery previously thought . common technical definition recession two successive quarter negative growth . government keen play worrying implication data . `` maintain view japan 's economy remains minor adjustment phase upward climb , monitor development carefully , '' said economy minister heizo takenaka . face strengthening yen making export le competitive indication weakening economic condition ahead , observer le sanguine . `` 's painting picture recovery ... much patchier previously thought , '' said paul sheard , economist lehman brother tokyo . improvement job market apparently yet feed domestic demand , private consumption 0.2 % third quarter ."
005.txt,"pernod takeover talk lift domecq share uk drink food firm allied domecq risen speculation could target takeover france 's pernod ricard . report wall street journal financial time suggested french spirit firm considering bid , yet contact target . allied domecq share london rose 4 % 1200 gmt , pernod share paris slipped 1.2 % . pernod said seeking acquisition refused comment specific . pernod 's last major purchase third u giant seagram 2000 , move propelled global top three drink firm . two-thirds seagram bought market leader diageo . term market value , pernod - 7.5bn euro ( $ 9.7bn ) - 9 % smaller allied domecq , capitalisation £5.7bn ( $ 10.7bn ; 8.2bn euro ) . last year pernod tried buy glenmorangie , one scotland 's premier whisky firm , lost luxury good firm lvmh . pernod home brand including chivas regal scotch whisky , havana club rum jacob 's creek wine . allied domecq 's big name include malibu rum , courvoisier brandy , stolichnaya vodka ballantine 's whisky - well snack food chain dunkin ' donut baskin-robbins ice cream . wsj said two ripe consolidation , dealt problematic part portfolio . pernod reduced debt took fund seagram purchase 1.8bn euro , allied improved performance fast-food chain ."
007.txt,"job growth still slow u u created fewer job expected january , fall jobseekers pushed unemployment rate lowest level three year . according labor department figure , u firm added 146,000 job january . gain non-farm payroll market expectation 190,000 new job . nevertheless enough push unemployment rate 5.2 % , lowest level since september 2001. job gain mean president bush celebrate - albeit fine margin - net growth job u economy first term office . presided net fall job last november 's presidential election - first president since herbert hoover . result , job creation became key issue last year 's election . however , adding december january 's figure , administration 's first term job record ended positive territory . labor department also said revised job gain december 2004 , 157,000 133,000. analyst said growth new job strong could expected given favourable economic condition . `` suggests employment continuing expand moderate pace , '' said rick egelton , deputy chief economist bmo financial group . `` getting boost employment would got given low value dollar still relatively low interest rate environment . '' `` economy producing moderate satisfying amount job growth , '' said ken mayland , president clearview economics . `` mean limited number new opportunity worker . ''"
008.txt,"india call fair trade rule india , attends g7 meeting seven leading industrialised nation friday , unlikely cowed newcomer status . london thursday ahead meeting , india 's finance minister , lashed restrictive trade policy g7 nation . objected subsidy agriculture make hard developing nation like india compete . also called reform united nation , world bank imf . palaniappan chidambaram , india 's finance minister , argued organisation need take account changing world order , given india china 's integration global economy . said issue globalisation `` term engagement globalisation . '' mr chidambaram attending g7 meeting part g20 group nation , account two third world 's population . conference developing enterprise hosted uk finance minister gordon brown friday , said favour floating exchange rate help country cope economic shock . `` flexible exchange rate one channel absorbing positive negative shock , '' told conference . india , along china , brazil , south africa russia , invited take part g7 meeting taking place london friday saturday . china expected face renewed pressure abandon fixed exchange rate , g7 nation , particular u , blamed surge cheap chinese export . `` country tried use fixed exchange rate . wish make judgement , '' mr chidambaram said . separately , imf warned thursday india 's budget deficit large would hamper country 's economic growth , forecast around 6.5 % year march 2005. year march 2004 , indian economy grew 8.5 % ."
010.txt,"court reject $ 280bn tobacco case u government claim accusing country 's biggest tobacco company covering effect smoking thrown appeal court . demand $ 280bn ( £155bn ) - filed clinton administration 1999 - rejected 2-1 decision . court washington found case could brought federal anti-racketeering law . among accused altria group , rj reynolds tobacco , lorillard tobacco , liggett group brown williamson . case , government claimed tobacco firm manipulated nicotine level increase addiction , targeted teenager multi-billion dollar advertising campaign , lied danger smoking ignored research contrary . prosecutor wanted cigarette firm surrender $ 280bn profit accumulated past 50 year impose tougher rule marketing product . court appeal district columbia ruled u government could sue firm legislation drawn counteract mafia infiltration business . tobacco company deny illegally conspired promote smoking defraud public . also say already met many government 's demand landmark $ 206bn settlement reached 46 state 1998. share tobacco company closed higher ruling , altria rising 5 % reynolds showing gain 4.5 % ."
009.txt,"ethiopia 's crop production 24 % ethiopia produced 14.27 million tonne crop 2004 , 24 % higher 2003 21 % average past five year , report say . 2003 , crop production totalled 11.49 million tonne , joint report food agriculture organisation world food programme said . good rain , increased use fertilizer improved seed contributed rise production . nevertheless , 2.2 million ethiopian still need emergency assistance . report calculated emergency food requirement 2005 387,500 tonne . top , 89,000 tonne fortified blended food vegetable oil `` targeted supplementary food distribution survival programme child five pregnant lactating woman '' needed . eastern southern ethiopia , prolonged drought killed crop drained well . last year , total 965,000 tonne food assistance needed help seven million ethiopian . food agriculture organisation ( fao ) recommend food assistance bought locally . `` local purchase cereal food assistance programme recommended far possible , assist domestic market farmer , '' said henri josserand , chief fao 's global information early warning system . agriculture main economic activity ethiopia , representing 45 % gross domestic product . 80 % ethiopian depend directly indirectly agriculture ."
011.txt,"ask jeeves tip online ad revival ask jeeves become third leading online search firm week thank revival internet advertising improving fortune . firm 's revenue nearly tripled fourth quarter 2004 , exceeding $ 86m ( £46m ) . ask jeeves , among best-known name web , relatively modest player . $ 17m profit quarter dwarfed $ 204m announced rival google earlier week . quarter , yahoo earned $ 187m , tipping resurgence online advertising . trend taken hold relatively quickly . late last year , marketing company doubleclick , one leading provider online advertising , warned business would put sale . thursday , announced sharp turnaround brought unexpected increase profit . neither ask jeeves doubleclick thrilled investor profit news , however . case , share fell 4 % . analyst attributed fall excessive expectation quarter , fuelled dramatic outperformance google tuesday ."
